id;date;from_seliste_id;to_seliste_id;exchange;value
144;2012-07-25;90;87;"1 Pain bio";25
147;2012-08-18;103;11;"3 arrosages et ramassages de courrier";30
148;2012-08-21;94;43;"Nourrissage de chat (6x)";60
149;2012-08-27;124;42;"pret de DVD sur écoute";10
150;2012-08-27;42;124;"prêt d'une machine à  faire les pâtes";10
151;2012-08-27;204;42;"aide en tricot";75
152;2012-08-27;42;214;"prise du panier";15
153;2012-08-27;124;42;"prêt de DVD mad men saison 3";10
154;2012-09-13;124;210;"pret DVD";10
155;2012-09-13;210;124;"pret DVD";10
156;2012-08-07;70;179;"Prêt de 2 romans "le liève de vatanen" et "les déferlantes"";20
157;2012-09-25;124;210;"Prêt minisérie Mildred Pierce";10
158;2012-09-09;210;42;"Prêt série Mad M'en saison 4";10
159;2012-09-16;179;11;"Prêt d'une remorque";500
160;2012-10-24;43;124;"pret jeu de tarot";5
161;2012-10-28;210;42;"prêt de engrenage saison 3";10
162;2012-11-08;42;43;"don de noix";50
163;2012-11-13;179;94;"jeux de société pour enfants";25
164;2012-11-25;87;90;"Jeux DS";50
165;2012-12-05;120;94;"branches pour réaliser un arbre de Noël";5
166;2012-12-05;81;94;"terre pour planter arbre de Noël";5
168;2012-11-24;78;81;"ELAGAGE  DE  DEUX  TILLEULS";90
169;2013-01-05;94;179;"Jeux "Croque Carottes"";10
170;2013-01-28;43;245;"Remplacement d'une chasse  d'eau.";60
171;2013-01-30;80;94;"aide pour accrocher des tableaux";300
172;2013-02-13;253;11;"Prêt de 3 BD (Blake et Mortimer)";15
173;2013-02-28;124;70;"un dvd prété";10
174;2013-02-28;124;42;"un dvd preté";10
176;2013-03-16;179;94;"prêt de jeux societe enfants";25
177;2013-03-16;11;124;"Prêt des tomes 1 à 5 de 'Les tours de 'Bois-Maury' par Hermann";25
178;2013-03-22;81;103;"Furet";10
179;2013-03-28;179;81;"Don d'une poussette canne";40
180;2013-04-06;11;253;"Prêt de l'intégrale des Mondes d'Aldébaran de Leo (Aldébaran, Bételgeuse, Antarès, Survivants - Anomalies quantiques)";80
181;2013-04-10;81;179;"Garde d'enfant";90
182;2013-04-29;81;94;"travaux couture";60
183;2013-05-06;81;120;"accompagnement à Roissy";180
184;2013-05-12;81;120;"couture";120
185;2013-05-16;42;124;"récupération et livraison du panier";10
186;2013-05-16;42;124;"don de deux tuniques";70
187;2013-05-25;81;103;"plante";5
188;2013-05-25;179;103;"plante";5
189;2013-05-25;87;45;"Livre Avions en origami";5
190;2013-05-25;87;81;"BD l'Afrique de Zigomar";10
191;2013-05-25;87;43;"DVD la vie des autres";10
192;2013-05-25;45;87;"Sweat shirt noir à capuche";5
193;2013-05-25;81;87;"Livre sur la science";10
194;2013-05-25;81;87;"Sciences et vie";5
195;2013-05-25;81;87;"Livre : fabrication du papier";5
196;2013-05-25;43;81;"pret CD 2 titre";5
197;2013-05-25;245;43;"Pret DVD";10
199;2013-05-25;103;70;"2 paniers osier";10
200;2013-04-25;94;11;"Transport à l'aéroport Charles de Gaulle";120
201;2013-05-25;263;45;"Prêt de « Just Kids » de Patti Smith";5
202;2013-05-25;45;81;"Quatre T-shirts";20
203;2013-05-25;45;81;"Une plante";5
204;2013-05-25;81;45;"Un plant de sauge et un plant d'aneth";10
205;2013-05-25;179;45;"Un plant de  mûrier";5
206;2012-11-30;94;45;"Prêt de ciseaux à cranter";5
207;2013-05-20;103;11;"Ramassage du courrier pendant nos vacances";20
208;2013-05-29;245;210;"Rédaction CV et lettres motivation";100
209;2013-05-30;70;179;"Livre de recettes "Je cuisine les fanes"";10
210;2013-06-02;124;210;"Pret DVD série downton abbey";10
211;2013-06-02;124;42;"Pret DVD serie game of thrones";10
212;2013-06-02;124;70;"pret DVD série Trémé 2";10
213;2013-06-07;124;103;"reception d'un colis";10
214;2013-06-07;124;259;"prise de panier";10
215;2013-05-25;70;245;"Prêt livre "Suskvan Island"";10
216;2013-05-25;70;245;"Prêt livre "Le cercle des amateurs d'épluchures de patates"";10
217;2013-05-25;70;81;"Prêt revue XXI n°18";10
218;2013-05-25;245;70;"prêt livre "Corps et âme" de Frank Conroy";10
219;2013-05-25;245;70;"Prêt livre "Le jeu de l'ange" de Carlos Ruiz Zafon";10
220;2013-06-09;120;90;"Garde d'enfants";90
221;2013-06-09;90;81;"Prêt Livres enfants";10
222;2013-06-16;210;42;"prêt de 5 saisons de séries (Dexter et Revenants)";50
223;2013-06-16;210;70;"initiation à la marche nordique";10
224;2013-06-26;124;179;"pret dvd game of thrones 1";10
225;2013-06-26;124;42;"pret dvd breaking bad 1";10
226;2013-05-25;217;263;"Plante Aloe Vera";10
227;2013-07-10;42;90;"donne un lit pin massif 90X190 avec tiroir en dessous";250
228;2013-07-15;90;120;"oeufs";12
229;2013-07-25;90;74;"Panier AMAP";30
230;2013-08-05;124;42;"2 series DVD boss/bbad2";20
231;2013-08-06;43;124;"pret livre";10
232;2013-04-21;210;11;"Garde de notre chien Nestor";440
233;2013-05-20;11;210;"3 paniers (légumes, pain, œufs)";440
234;2013-06-16;210;11;"Garde de notre chien Nestor";180
235;2013-08-14;124;179;"prêt dvd games of thrones 2";10
